Month,CPGI,CPGI_YOY,CPGI_Comparative,Agricultural_Products_Index,API_YOY,API_Comparative,Mineral_Products_Index,MPI_YOY,MPI_Comparative,Kerosene_Power_Index,KPI_YOY,KPI_Comparative
2012年02月份,100.6,-7.45%,-0.69%,101,-15.48%,-2.42%,99,-13.91%,-0.80%,106.5,0.00%,-0.47%
2012年01月份,101.3,-6.20%,-0.95%,103.5,-12.44%,-1.15%,99.8,-11.45%,-0.94%,107,0.75%,-1.79%
2011年12月份,102.27,-5.21%,-0.90%,104.71,-9.03%,0.39%,100.74,-12.02%,-3.69%,108.95,3.17%,0.41%
2011年11月份,103.2,-4.97%,-2.52%,104.3,-11.54%,-6.01%,104.6,-7.27%,-5.10%,108.5,1.02%,-1.65%
2011年10月份,105.87,-1.79%,-2.34%,110.97,-4.01%,-3.08%,110.22,-0.52%,-3.82%,110.32,2.82%,-1.23%
2011年09月份,108.4,2.17%,-0.46%,114.5,2.23%,0.88%,114.6,2.87%,-0.17%,111.7,4.98%,-0.18%
2011年08月份,108.9,2.74%,-0.73%,113.5,-0.35%,-2.83%,114.8,3.24%,1.23%,111.9,3.61%,0.09%
2011年07月份,109.7,3.59%,0.18%,116.8,3.73%,-0.85%,113.4,-0.09%,0.71%,111.8,3.14%,0.81%
2011年06月份,109.5,2.72%,0.64%,117.8,4.71%,2.26%,112.6,-2.51%,1.58%,110.9,-2.29%,1.16%
2011年05月份,108.8,1.59%,0.28%,115.19,2.85%,-1.37%,110.85,-5.10%,-1.29%,109.63,-6.54%,0.49%
2011年04月份,108.5,1.78%,-0.73%,116.8,6.18%,-2.83%,112.3,-2.85%,-1.92%,109.1,-7.23%,0.74%
2011年03月份,109.3,3.50%,0.55%,120.2,10.99%,0.59%,114.5,-0.78%,-0.43%,108.3,-7.99%,1.69%
2011年02月份,108.7,2.84%,0.65%,119.5,7.55%,1.10%,115,1.38%,2.04%,106.5,-10.62%,0.28%
2011年01月份,108,3.37%,0.09%,118.2,9.53%,2.69%,112.7,-1.93%,-1.57%,106.2,-8.31%,0.57%
2010年12月份,107.9,4.39%,-0.64%,115.1,6.91%,-2.37%,114.5,0.59%,1.51%,105.6,-3.51%,-1.68%
2010年11月份,108.6,8.18%,0.74%,117.9,12.61%,1.99%,112.8,4.33%,1.81%,107.4,10.17%,0.09%
2010年10月份,107.8,11.94%,1.60%,115.6,15.25%,3.21%,110.8,13.76%,-0.54%,107.3,19.09%,0.85%
2010年09月份,106.1,12.79%,0.09%,112,12.03%,-1.67%,111.4,24.90%,0.18%,106.4,22.09%,-1.48%
2010年08月份,106,14.10%,0.09%,113.9,17.06%,1.15%,111.2,27.38%,-2.03%,108,28.72%,-0.37%
2010年07月份,105.9,15.11%,-0.66%,112.6,16.93%,0.09%,113.5,34.80%,-1.73%,108.4,27.53%,-4.49%
2010年06月份,106.6,15.87%,-0.47%,112.5,17.80%,0.45%,115.5,35.56%,-1.11%,113.5,32.44%,-3.24%
2010年05月份,107.1,15.91%,0.47%,112,16.91%,1.82%,116.8,37.25%,1.04%,117.3,34.67%,-0.26%
2010年04月份,106.6,14.75%,0.95%,110,14.46%,1.57%,115.6,34.42%,0.17%,117.6,34.55%,-0.08%
2010年03月份,105.6,13.06%,-0.09%,108.3,12.22%,-2.53%,115.4,35.83%,1.73%,117.7,33.54%,-1.23%
2010年02月份,105.7,12.45%,1.17%,111.11,17.70%,2.96%,113.44,29.79%,-1.29%,119.16,34.95%,2.87%
2010年01月份,104.48,9.03%,1.08%,107.92,10.14%,0.24%,114.92,30.53%,0.96%,115.83,27.88%,5.84%
2009年12月份,103.36,6.64%,2.96%,107.66,9.24%,2.83%,113.83,27.63%,5.28%,109.44,13.76%,12.26%
2009年11月份,100.39,0.80%,4.25%,104.7,4.50%,4.39%,108.12,15.49%,11.01%,97.49,-9.56%,8.20%
2009年10月份,96.3,-7.43%,2.37%,100.3,-3.80%,0.33%,97.4,-6.17%,9.21%,90.1,-24.37%,3.38%
2009年09月份,94.07,-12.08%,1.26%,99.97,-4.75%,2.74%,89.19,-20.59%,2.16%,87.15,-29.82%,3.87%
